,_id,lat,lng,name,oficina_principal,totalOffices
0,5d231e0ae0aeedf6e06cd897,40.738567,-73.987199,SpaBooker,"{'type': 'Point', 'coordinates': [-73.987199, 40.738567]}",1.0
1,5d231e0ae0aeedf6e06cbdd7,40.739341,-73.988357,HealthiNation,"{'type': 'Point', 'coordinates': [-73.988357, 40.739341]}",1.0
2,5d231e0ae0aeedf6e06cb8aa,40.737721,-73.987725,Special Ops Media,"{'type': 'Point', 'coordinates': [-73.987725, 40.737721]}",1.0
3,5d231e0ae0aeedf6e06ce298,40.7401544,-73.9867417,Mashable,"{'type': 'Point', 'coordinates': [-73.9867417, 40.7401544]}",1.0
4,5d231e0ae0aeedf6e06ccbbd,40.740207,-73.987002,Return Path,"{'type': 'Point', 'coordinates': [-73.987002, 40.740207]}",1.0
5,5d231e0ae0aeedf6e06cb602,40.739794,-73.985878,Phreesia,"{'type': 'Point', 'coordinates': [-73.985878, 40.739794]}",1.0
6,5d231e0ae0aeedf6e06cd66e,40.7376483,-73.988315,manageME7,"{'type': 'Point', 'coordinates': [-73.988315, 40.7376483]}",1.0
7,5d231e0ae0aeedf6e06cc3f6,40.740512,-73.987794,Gust,"{'type': 'Point', 'coordinates': [-73.987794, 40.740512]}",2.0
8,5d231e0ae0aeedf6e06cc661,40.740512,-73.987794,Gust,"{'type': 'Point', 'coordinates': [-73.987794, 40.740512]}",2.0
9,5d231e0ae0aeedf6e06cc8c1,40.740512,-73.987794,Voice123,"{'type': 'Point', 'coordinates': [-73.987794, 40.740512]}",1.0
10,5d231e0ae0aeedf6e06cd42f,40.740512,-73.987794,Comixology,"{'type': 'Point', 'coordinates': [-73.987794, 40.740512]}",1.0
11,5d231e0ae0aeedf6e06cd78c,40.740512,-73.987794,PerformLine,"{'type': 'Point', 'coordinates': [-73.987794, 40.740512]}",3.0
12,5d231e0ae0aeedf6e06cb810,40.740348,-73.985777,FeedBackFX,"{'type': 'Point', 'coordinates': [-73.985777, 40.740348]}",1.0
13,5d231e0ae0aeedf6e06cda3f,40.7391853,-73.9897456,HD Cloud,"{'type': 'Point', 'coordinates': [-73.9897456, 40.7391853]}",1.0
14,5d231e0ae0aeedf6e06cb371,40.737136,-73.987973,BustedTees,"{'type': 'Point', 'coordinates': [-73.987973, 40.737136]}",1.0
15,5d231e0ae0aeedf6e06cb364,40.740231,-73.985433,BeliefNet,"{'type': 'Point', 'coordinates': [-73.985433, 40.740231]}",1.0
16,5d231e0ae0aeedf6e06ccaa8,40.740145,-73.985207,"RGA Advisors, LLC","{'type': 'Point', 'coordinates': [-73.985207, 40.740145]}",2.0
17,5d231e0ae0aeedf6e06cc32a,40.739867,-73.990024,YellowSpaces,"{'type': 'Point', 'coordinates': [-73.990024, 40.739867]}",1.0
18,5d231e0ae0aeedf6e06ccf63,40.739867,-73.990024,Modelinia,"{'type': 'Point', 'coordinates': [-73.990024, 40.739867]}",1.0
19,5d231e0ae0aeedf6e06cc595,40.739867,-73.990024,YellowSpaces,"{'type': 'Point', 'coordinates': [-73.990024, 40.739867]}",1.0
20,5d231e0ae0aeedf6e06cbf91,40.736796,-73.988339,CashEdge,"{'type': 'Point', 'coordinates': [-73.988339, 40.736796]}",3.0
21,5d231e0ae0aeedf6e06cb0be,40.740251,-73.990004,SelectMinds,"{'type': 'Point', 'coordinates': [-73.990004, 40.740251]}",1.0
22,5d231e0ae0aeedf6e06cb7e7,40.73906,-73.990911,Business Insider,"{'type': 'Point', 'coordinates': [-73.990911, 40.73906]}",1.0
23,5d231e0ae0aeedf6e06cdc88,40.73998,-73.9907472,Breakaway Communications,"{'type': 'Point', 'coordinates': [-73.9907472, 40.73998]}",3.0
