,name,category_code,founded_year,total_money_raised,description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude,location,Starbucks,school,vegan,airport,relevance,Polygons,Polygon area,Center
31,PeekYou,search,2012,$1.83M,,,,,New York,NY,USA,40.757929,-73.985506,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}","{'type': 'Point', 'coordinates': [-73.9863503, 40.7596825]}","{'type': 'Point', 'coordinates': [-73.9843105, 40.7579904]}","{'type': 'Point', 'coordinates': [-73.9866258, 40.7607069]}","{'type': 'Point', 'coordinates': [-73.9721185, 40.742297]}",10,"POLYGON ((-73.985506 40.757929, -73.97211849999999 40.742297, -73.9863503 40.7596825, -73.98431050000001 40.7579904, -73.9866258 40.7607069, -73.985506 40.757929))",0.05403655033438271,POINT (-73.98179002079604 40.7539671909482)
17,MyLikes,advertising,2010,$6.23M,,"1000 Brannan St, #502",,94103,San Francisco,CA,USA,37.777995,-122.408914,"{'type': 'Point', 'coordinates': [-122.408914, 37.777995]}","{'type': 'Point', 'coordinates': [-122.4146525, 37.8081104]}","{'type': 'Point', 'coordinates': [-122.4095385, 37.7789757]}","{'type': 'Point', 'coordinates': [-122.4112304, 37.781266]}","{'type': 'Point', 'coordinates': [-122.4104463, 37.7857289]}",10,"POLYGON ((-122.408914 37.777995, -122.4104463 37.7857289, -122.4146525 37.8081104, -122.4095385 37.7789757, -122.4112304 37.781266, -122.408914 37.777995))",0.056869385233801126,POINT (-122.4109667032064 37.78784320915541)
15,BASH Gaming,games_video,2010,$1M,India Office,,,,Bangalore,,IND,12.971606,77.594376,"{'type': 'Point', 'coordinates': [77.594376, 12.971606]}","{'type': 'Point', 'coordinates': [77.58803689999999, 12.9858773]}","{'type': 'Point', 'coordinates': [77.5945627, 12.9715987]}","{'type': 'Point', 'coordinates': [77.59620919999999, 12.971721]}","{'type': 'Point', 'coordinates': [77.5949925, 12.9723035]}",10,"POLYGON ((77.594376 12.971606, 77.5949925 12.9723035, 77.58803689999999 12.9858773, 77.5945627 12.9715987, 77.59620919999999 12.971721, 77.594376 12.971606))",0.06383356993788222,POINT (77.59251218863972 12.97663719715399)
19,Fliptop,enterprise,2010,$6.79M,Headquarters,580 Howard Street,Suite 201,94105,San Francisco,CA,USA,37.775206,-122.419209,"{'type': 'Point', 'coordinates': [-122.419209, 37.775206]}","{'type': 'Point', 'coordinates': [-122.4146525, 37.8081104]}","{'type': 'Point', 'coordinates': [-122.4187581, 37.7766262]}","{'type': 'Point', 'coordinates': [-122.416294, 37.7778753]}","{'type': 'Point', 'coordinates': [-122.4194155, 37.7749295]}",10,"POLYGON ((-122.419209 37.775206, -122.4194155 37.7749295, -122.4146525 37.8081104, -122.4187581 37.7766262, -122.416294 37.7778753, -122.419209 37.775206))",0.08233307718460718,POINT (-122.4177073301324 37.78470394948035)
6,Integrate,software,2010,$34.8M,San Francisco Office,23 Geary St,10th Floor,94104,San Francisco,CA,USA,,,"{'type': 'Point', 'coordinates': [-122.40412, 37.78788]}","{'type': 'Point', 'coordinates': [-122.4146525, 37.8081104]}","{'type': 'Point', 'coordinates': [-122.4036389, 37.7872211]}","{'type': 'Point', 'coordinates': [-122.4043345, 37.7913325]}","{'type': 'Point', 'coordinates': [-122.4084994, 37.7909427]}",1,"POLYGON ((-122.40412 37.78788, -122.4084994 37.7909427, -122.4146525 37.8081104, -122.4036389 37.7872211, -122.4043345 37.7913325, -122.40412 37.78788))",0.2816738883094773,POINT (-122.4091455458361 37.79576446796169)
27,Emotive Communications,enterprise,2011,$14M,HQ,345 California Street,10th Floor,94104,San Francisco,CA,USA,,,"{'type': 'Point', 'coordinates': [-122.40353, 37.79275]}","{'type': 'Point', 'coordinates': [-122.4146525, 37.8081104]}","{'type': 'Point', 'coordinates': [-122.4054519, 37.7932042]}","{'type': 'Point', 'coordinates': [-122.4039415, 37.7928288]}","{'type': 'Point', 'coordinates': [-122.4084994, 37.7909427]}",10,"POLYGON ((-122.40353 37.79275, -122.4084994 37.7909427, -122.4146525 37.8081104, -122.4054519 37.7932042, -122.4039415 37.7928288, -122.40353 37.79275))",0.35158054819266826,POINT (-122.4092418012659 37.79701339473289)
6,Integrate,software,2010,$34.8M,Scottsdale HQ,4900 N. Scottsdale Road,Suite 4000,85251,Scottsdale,AZ,USA,40.7481039,-74.0353787,"{'type': 'Point', 'coordinates': [-74.0353787, 40.7481039]}","{'type': 'Point', 'coordinates': [-74.0056597, 40.7416944]}","{'type': 'Point', 'coordinates': [-74.03322639999999, 40.7475621]}","{'type': 'Point', 'coordinates': [-74.00634389999999, 40.7424547]}","{'type': 'Point', 'coordinates': [-73.9975264, 40.736988]}",1,"POLYGON ((-74.0353787 40.7481039, -73.9975264 40.736988, -74.0056597 40.7416944, -74.03322639999999 40.7475621, -74.00634389999999 40.7424547, -74.0353787 40.7481039))",0.4171406660103506,POINT (-74.01303331109277 40.74232239480138)
5,SiSense,analytics,2010,$10M,World Headquarters,36 Hanamal st.,,,Tel Aviv,,ISR,,,"{'type': 'Point', 'coordinates': [34.79268, 32.07661]}","{'type': 'Point', 'coordinates': [34.7698466, 32.0683685]}","{'type': 'Point', 'coordinates': [34.7954404, 32.073773]}","{'type': 'Point', 'coordinates': [34.7848618, 32.0703023]}","{'type': 'Point', 'coordinates': [34.8878467, 32.1131188]}",10,"POLYGON ((34.79268 32.07661, 34.8878467 32.1131188, 34.7698466 32.0683685, 34.7954404 32.073773, 34.7848618 32.0703023, 34.79268 32.07661))",0.516355078482116,POINT (34.79956878215361 32.07930456633336)
7,UsingMiles,travel,2010,$3.27M,Headquarters,1514 Blake St,,80202,Denver,CO,USA,39.749671,-104.9998449,"{'type': 'Point', 'coordinates': [-104.9998449, 39.749671]}","{'type': 'Point', 'coordinates': [-105.0059041, 39.7452649]}","{'type': 'Point', 'coordinates': [-105.0008177, 39.7502849]}","{'type': 'Point', 'coordinates': [-104.9980718, 39.7495725]}","{'type': 'Point', 'coordinates': [-104.990251, 39.7392358]}",10,"POLYGON ((-104.9998449 39.749671, -104.990251 39.7392358, -105.0059041 39.7452649, -105.0008177 39.7502849, -104.9980718 39.7495725, -104.9998449 39.749671))",0.5448070809058086,POINT (-104.9989208497191 39.7450258040438)
20,ticketea,ecommerce,2010,$5.73M,Office,Marques de Lema,7,28003,Madrid,,ESP,40.4455155,-3.7061764,"{'type': 'Point', 'coordinates': [-3.7061764, 40.4455155]}","{'type': 'Point', 'coordinates': [-3.6952059, 40.4479271]}","{'type': 'Point', 'coordinates': [-3.704604799999999, 40.4449104]}","{'type': 'Point', 'coordinates': [-3.7048417, 40.4428361]}","{'type': 'Point', 'coordinates': [-3.699849599999999, 40.4345051]}",10,"POLYGON ((-3.7061764 40.4455155, -3.699849599999999 40.4345051, -3.6952059 40.4479271, -3.704604799999999 40.4449104, -3.7048417 40.4428361, -3.7061764 40.4455155))",0.5756610984563447,POINT (-3.70014180282674 40.44230395285032)
