id,carat,cut,color,clarity,depth,table,x,y,z,price
0,0.78,Premium,F,VS1,61.5,58.0,5.93,5.98,3.66,3446
1,0.31,Ideal,D,SI1,60.8,56.0,4.37,4.32,2.64,732
2,0.3,Ideal,F,SI1,62.3,54.0,4.3,4.34,2.69,475
3,1.04,Ideal,E,VVS2,62.0,58.0,6.54,6.46,4.03,9552
4,0.65,Ideal,J,SI1,61.4,55.0,5.58,5.62,3.44,1276
5,0.9,Premium,E,SI2,62.2,60.0,6.15,6.19,3.84,3662
6,0.31,Very Good,H,SI1,62.3,55.0,4.34,4.36,2.71,446
7,0.71,Fair,E,VS2,64.6,59.0,5.62,5.59,3.62,2902
8,2.05,Ideal,E,SI1,62.4,57.0,8.17,8.09,5.08,18193
9,1.1,Very Good,E,SI1,61.3,58.0,6.64,6.71,4.09,4791
10,1.19,Very Good,I,VS1,59.9,61.0,6.85,6.91,4.12,5644
11,0.65,Ideal,F,VS1,62.2,57.0,5.6,5.53,3.46,2340
12,0.3,Ideal,D,SI1,61.4,56.0,4.35,4.32,2.66,709
13,0.71,Ideal,G,SI1,61.2,58.0,5.77,5.79,3.54,2400
14,0.33,Ideal,F,IF,61.3,55.0,4.47,4.5,2.75,1240
15,1.3,Ideal,G,VVS2,60.9,57.0,7.04,7.11,4.31,11853
16,0.3,Premium,E,VS2,61.8,58.0,4.36,4.31,2.68,844
17,1.29,Ideal,F,VS1,60.7,57.0,7.08,7.05,4.29,11197
18,0.69,Ideal,G,SI1,62.4,56.0,5.66,5.69,3.55,2297
19,0.28,Ideal,E,VVS1,60.6,55.0,4.28,4.3,2.6,787
20,0.31,Ideal,G,VVS1,61.2,56.0,4.38,4.34,2.67,1046
21,1.4,Very Good,D,SI2,61.8,54.0,7.16,7.21,4.44,8268
22,1.01,Good,G,SI1,63.3,59.0,6.24,6.31,3.97,4781
23,0.5,Premium,E,SI1,59.3,59.0,5.19,5.24,3.09,1410
24,1.5,Very Good,G,VS2,61.1,60.0,7.4,7.3,4.49,13528
25,1.03,Ideal,G,VS1,61.3,56.0,6.52,6.5,3.99,7648
26,1.01,Fair,E,SI1,64.7,56.0,6.34,6.27,4.08,5034
